category,model,symptomAreas
Active_Speaker,DVS_10P_SP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,DVS_115_SW_iSP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,DVS_118_SW_iSP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,DVS_12P_iSP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,DVS_15P_iSP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,DVS_8P_SP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,FLYSUB_15_iSP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Active_Speaker,HARD115_SP,"Amplifier,Audio_,Cabinet,Power,Speaker"
Passive_Speaker,AI_41,"Audio_,Cabinet,Speaker"
Passive_Speaker,AI_81,"Audio_,Cabinet,Speaker"
Passive_Speaker,ARENA_215_CX,"Audio_,Cabinet,Speaker"
Passive_Speaker,AS_6,"Audio_,Cabinet,Speaker"
Passive_Speaker,BUTTERFLY_CDH_483,"Audio_,Cabinet,Hardware,Speaker"
Passive_Speaker,Charlie_4,"Audio_,Cabinet,Speaker"
Passive_Speaker,DBS_18_2,"Audio_,Cabinet,Speaker"
Passive_Speaker,EIDOS_108S,"Audio_,Cabinet,Speaker"
Processor,Genius_24,"Audio,Connections,Control_Software,Mechanics,Power"
Processor,Genius_26,"Audio,Connections,Control_Software,Mechanics,Power"
Processor,Genius_M_412,"Audio,Connections,Control_Software,Mechanics,Power"
Processor,iP_24,"Audio,Connections,Control_Software,Mechanics,Power"
Processor,iP_24_v2,"Audio,Connections,Control_Software,Mechanics,Power"
Processor,Newton_16,"Audio,Connections,Control_Software,Dante,Firmware,Mechanics,Power"
Processor,Newton_16_4,"Audio,Connections,Control_Software,Dante,Firmware,Mechanics,Power"
Processor,Newton_16_8,"Audio,Connections,Control_Software,Dante,Firmware,Mechanics,Power" 
